datum,zeit,bearbeitetes_problem,betroffene_dateien,betroffene_funktionen
2026-09-03,17:34,"getMovingPartFromSel() findet echtes Objekt nicht (isLink()-Bug bei verschachtelter flexibler AssemblyLink)",AssemblyUtils.cpp,getMovingPartFromSel
2026-09-03,17:43,"isPartConnected() liefert FALSE fuer erreichbares Teil (Identitaetsraum-Luecke)",AssemblyObject.cpp,isPartConnected
2026-09-03,18:09,"canDragObjectIn3d() lehnt echtes verschachteltes Objekt komplett vom Ziehen ab",AssemblyObject.h;AssemblyObject.cpp;ViewProviderAssembly.cpp,canDragObjectIn3d;hasRealObject (neu)
2026-09-03,18:22,"Lokale Spiegel-Kopie bekommt Solver-Ergebnis bei flexibler Baugruppe nie mitgeteilt",AssemblyObject.h;AssemblyObject.cpp,setNewPlacements;syncLocalMirrorPlacement (neu);collectLocalMirrorCandidates (neu)
2026-09-03,20:47,"addConnectedFixedParts() (bundleFixed, nur waehrend Maus-Drag) schreibt unkanonisiert in objectPartMap",AssemblyObject.cpp,getMbDData;addConnectedFixedParts;getJointsOfPart
2026-09-03,20:51,"resolvePartForMbD() kanonisiert Ergebnis nicht konsequent - Reachability-Pruefung verwirft erreichbaren Joint faelschlich",AssemblyObject.cpp,resolvePartForMbD
2026-09-03,21:05,"Intermittierender isPartConnected()-Ausfall bei parallel laufenden Sandbox-Prozessen (kein Code-Bug, geloest durch sauberen Neustart)",-,isPartConnected;getJoints
2026-09-03,21:09,"Nebenfund: MinimalReproSub.FCStd hat BoxA gleichzeitig geerdet UND per Joint002 starr an BoxD gekoppelt (Testdatei-Widerspruch, kein Code-Bug)",MinimalReproSub.FCStd;MinimalReproTop.FCStd,-
2026-09-03,21:10,"Live-Verifikation: MinimalReproSub.FCStd allein - BoxB per Maus ziehbar, Solver-Verbindung haelt durchgehend",-,-
2026-09-03,21:11,"Offen: Baumauswahl markiert BoxB nicht blau/gruen in 3D-Ansicht - Screenshot angefordert, Ursache noch nicht untersucht",-,-
2026-09-04,13:31,"Boxen nach dem Laden werden bei Taste Z nicht linear/korrekt platziert (MinimalReproTop.FCStd) - syncLocalMirrorPlacement() lief nur wenn sich das kanonische Objekt selbst aenderte, nicht wenn nur die veraltete lokale Spiegel-Kopie falsch stand",AssemblyObject.cpp,setNewPlacements;syncLocalMirrorPlacement
2026-09-04,13:34,"Verifiziert per Skript: MinimalReproTop.FCStd Fix bestaetigt (lokale BoxA-Kopie folgt jetzt korrekt); verbleibender Sprung bei BoxD ist bestaetigt die bekannte Testdatei-Redundanz (BoxA gleichzeitig geerdet+Fixed-gekoppelt), kein Code-Bug",MinimalReproTop.FCStd;MinimalReproSub.FCStd,-
2026-09-04,13:35,"Nebenfund bei GrandTop (2 Ebenen): mittlere Ebene (Top) synchronisiert ihre eigene lokale Spiegel-Kopie nicht mehr, wenn sie ihren Solve an GrandTop abgibt - separates, noch nicht bearbeitetes Thema",AssemblyObject.cpp,syncLocalMirrorPlacement;collectLocalMirrorCandidates
2026-09-04,13:42,"Nutzerkorrektur: verschachtelte Erdung (Sub#BoxA) ist keine Testdatei-Redundanz, sondern eigene getGroundedParts()-Rekursion (Fix von vorgestern) war zu aggressiv - zog Erdung immer mit rein, auch wenn ueber Joint-Kette von aussen (BoxC) bereits erreichbar",AssemblyObject.cpp,getGroundedParts
2026-09-04,13:53,"Fix verifiziert per Skript+Screenshot auf UNVERAENDERTER Originaldatei MinimalReproTop.FCStd: alle Boxen jetzt korrekt linear auf einer Achse, 'finished successfully', keine Redundanz-Warnung mehr (vorher 4 geerdete Teile, jetzt korrekt 3)",AssemblyObject.cpp,getGroundedParts;traverseAndMarkConnectedParts
2026-09-04,14:05,"Zwischenstand (Bug 8+9) committed (df5aafe): Spiegel-Sync unbedingt + Erdungs-Reachability; patches/README.md Item 21 ergaenzt",patches/README.md;patches/freecad-assembly-jointobject.patch;patches/freecad-assembly-addressing-utils.patch;patches/freecad-assembly-viewprovider-null-crash.patch,-
2026-09-04,14:26,"syncGroundedJoints() Neuanlage-Zweig nutzte fuer die Objektsuche immer das Dokument der Assembly statt des zu erdenden Teils selbst (Identitaetsraum-Fehler bei cross-document Teilen, vorsorglicher Fix, im GrandTop-Testfall aber 0 GroundedJoint-Neuanlagen beobachtet)",AssemblyObject.cpp,syncGroundedJoints
2026-09-04,14:44,"Testinfrastruktur-Irrweg aufgeklaert: vermeintlicher GrandTop-Endlosschleifen-Hang war ein bereits erfolgreich abgeschlossener Testlauf - Bash-Redirect-Log blieb an Pufferungsgrenze haengen, FreeCADs eigenes --log-file enthielt den kompletten Ablauf (Backtrace-Diagnose in MainWindow::closeEvent()/Document::canClose()/MDIView::canClose(), danach wieder entfernt)",MainWindow.cpp;Document.cpp;MDIView.cpp (temporaer, revertiert),closeEvent;canClose;closeAllDocuments
2026-09-04,14:51,"GrandTop (2 Ebenen) verhielt sich nicht wie Top: canonicalizeForMbD() brach ab, wenn Objekt nicht im eigenen Group-Baum gefunden wurde, statt an die zustaendige verschachtelte Unterbaugruppe zu delegieren - Sub#BoxA (echtes Objekt) blieb am Ursprung stehen, Boxen ueberlappten im 3D-View. Fix: rekursive Delegation an nested->canonicalizeForMbD(). Verifiziert per Skript+Screenshot: Zahlenwerte jetzt identisch zum verifizierten Top-Alleinstand-Ergebnis, vier sauber getrennte Boxen statt Ursprungs-Ueberlappung",AssemblyObject.cpp,canonicalizeForMbD
